description,business_tags,sector,category,niche,insurance_label
"Halle Heat Exchange Equipment Co., Ltd is a Chinese company that specializes in the production and sales of heat exchangers. Their main products include plate-type heat exchanger, welded panel type heat exchang, ground heating water distributors, stainless steel water divider, and overheated hot water coolers. The company has an in-depth knowledge team with high-quality technical expertise and is equipped with many varieties of excellent equipment for producing heat exchiders. Halle Heat Exchanger Equipment Co, Ltd is committed to achieving innovative products and technologies for efficient heat transfer and reducing natural resource consumption. They provide a knowledge-intensive approach to further optimize heating or cooling treatments for various process equipment. The Halley plate heat exchider has a very high thermal transfer efficiency compared to traditional welded-plated heat exchanders and is compact in structure. The heat exchuder is mainly used in the development of the fastener industry.","['Technology Products and Solutions', 'Welded Heat Exchangers Manufacturer', 'Ground Water Heating Engineering Services Supplier', 'Stainless Steel Water Distributors', 'Heat Treatment for Export']",Manufacturing,Industrial Air Solutions,Power Boiler and Heat Exchanger Manufacturing,"['Water Treatment Services', 'Ice Production Services']"
"Ballymacarbry Elders Housing Association Ltd. is a registered charity in Ireland that aims to provide quality, age-friendly, and sustainable homes for older people in the local community who require them. Their goal is to enable these individuals to live independently for as long as possible. The association offers 1 & 2 bedroom terrace houses in three blocks, consisting of single storey, semi-detached, back and front gardens, each with an entrance hall, kitchen/living room, 2 bedrooms, and walk-in shower. The houses are well-insulated and have a BER rating of A3. The community center adjacent to the houses includes a library, a social club with entertainment, a caretaker and health center, and a daily bus service to Clonmel and Dungarvan. The development is located in the village of Ballymacarrow, surrounded by private grounds and close to the Nire River.","['Sustainable Homes', 'Residential Terraces', 'Clubhouse and Dinner Club Services', 'Single-storey Homes', 'Entrance Hall', 'Daily Bus Services', 'Caretaker and Health Centre Services', 'Semi-Detached House', 'Age-friendly Homes', 'Kitchen & Living Room', 'Community Center', 'Class Teaching Services', 'Non-profit Organization', 'Front Garden Houses', 'Walk-in Shower Houses', 'Social Club Services', '3 Residential Blocks', 'Housing Association', 'Lunch Service', 'High-quality Homes', 'A3 Rating Houses', 'Gym Facilities', 'Music and Entertainment Services', '55+ Housing Development', 'Independent Living Support', 'Lovely Walks Services', 'Bingo Services', 'Insulated Homes', 'Card Game Services', 'Library Services']",Services,Housing Programs,Other Community Housing Services,[]
"An Nhien Scientific Equipment Co., Ltd. (AnNhien) is a company that specializes in the distribution of scientific equipment, reagents, probiotics, and consumables for various industries such as life science research, chemistry, biomedicine, clinical diagnostic, veterinary, food hygiene, environmental monitoring, and quality control. They offer a range of products including sterilization products, biological and chemical indicators, sterilization packing, labwares and consumable products, plasticwares, cell culture, micro and molecular biology, handling and storage, specimen collection, microbiology and storage solutions, reagent and probiotic products, microbial identification, enzymes and prepared enzymes, and culture media. The company is committed to providing high-quality products and technology to its customers and contributing to the development of science, technology, and economy in Vietnam.","['Sterilization Products', 'Biological Indicators', 'Consumables Distribution', 'Chemical Indicators', 'Scientific Equipment Distribution', 'Reagents Distribution']",Manufacturing,Laboratory Equipment & Supplies,Analytical Laboratory Instrument Manufacturing,"['Plastic Manufacturing', 'Chemical Manufacturing']"
"Anovei is a company that specializes in air treatment, purifier leasing, and nasal filtration research and development, as well as production.","['Innovative Solutions Provider', 'Technology Solutions', 'High-tech Solutions', 'Technology Consulting Services', 'Low Tech Firm', 'Air Treatment', 'Production', 'Technology Services', 'Nasal Filtration Research and Development', 'Purifier Leasing Services']",Manufacturing,Medical Supply Manufacturers,Irradiation Apparatus Manufacturing,"['Ice Production Services', 'Consulting Services', 'Technology Consulting']"
"Db Motor Service di Damiano Barbato is an auto electrical service and auto repair shop located in Arzano, Campania, Italy.","['Diagnostic Services', 'Correct Diagnosis and Maintenance', 'Automobiles And Motorcycles', 'Parking Facilities', 'Bathroom Facilities', 'Auto Repair Service', 'Automotive Repair and Maintenance Services', 'Seating Options', 'Motorcycle Diagnosis and Repair Services', 'Mechanical and Electronic Workshop', 'Auto Electrical Services', 'Wheelchair Accessible Entrance']",Services,Auto Services,Specialized Automotive Repair,[]
DOO Bački Petrovac is a Slovakian company that specializes in the production of raw materials and the wholesale of cleaning products. Their main focus is on producing raw powders and selling cleaning items.,"['Production', 'Wholesale Distribution', 'Cleaning Articles Manufacturer', 'Metal Circle Manufacturer']",Manufacturing,Cleaning Equipment & Supplies,Soap and Other Detergent Manufacturing,[]
"Reparación Lavarropas Candy is a technical service and repair company that specializes in the repair and maintenance of washing machines. They offer same-day service in the Capital Federal, GBA Zona Norte, GGA Zona Oeste, and GBA Súbrica Zona Sur areas. Their main focus is on repairing and maintaining Candy washing machines, providing technical support to their customers.","['Home Care', 'Technical Service and Maintenance', 'Candy Washing Machine Repair Services']",Services,Appliance Repair & Maintenance,Appliance Repair and Maintenance,[]
"Ver Peliculas is a company that specializes in video conferencing solutions. They offer a range of products and services related to video conferecting, including AVer, Jean Paul, and Ver Pelicula.","['Metaverse Auctions Platform', 'Auction Services', 'Auction Via Video Conferencing']",Services,"Alarms, Surveillance & Security Systems",All Other Business Support Services,[]
"Gina Crow is an Italian-American film director, writer, and producer based in Los Angeles, California. She has a background in music production and international DJing, and has worked on music videos, commercials, and narrative projects. Crow has collaborated with Fuse Technical Group, ARRI, Inc., and FotoKem to produce an action thriller short film called ""Dark in Berlin,"" which was shot on an LED volume stage using virtual production and stars Christine Ko and Miki Ishikawa. She is currently working on her debut feature film, which is expected to be released in spring 2024.","['Virtual Production Services', 'LED Volume Stage Film', 'Dark Thriller Short Film', 'Biopic Production', 'Music Video Production']",Services,Video and Audio Production,Motion Picture and Video Distribution,['Ice Production Services']
"360Scooters is a company that offers electric scooter rental services in Tenerife, Canary Islands. They provide electric scooters for rent, allowing tourists to explore the cities of the island in a sustainable way. Customers can rent a scooter for a daily, weekly, or three-day period and pick it up in South Tenerije, Arona, Los Cristianos, Playa de Las Américas, and Adeje. The company is a leader in electric personal mobility and offers workshops, technical services, and online and physical sales of personal mobility vehicles.","['Electricity', 'Rental Services', 'Electric Scooter Rental Services', 'Online Sales', 'Personal Mobility Vehicles Sales', 'Sustainable Mobility Solutions', 'Technical Service Workshop']",Services,Car Rental,Home Health Equipment Rental,[]
"Vision Express Opticians - Llanelli is an establishment located in Llanelli, Wales, United Kingdom. It operates as an optician, contact lenses supplier, eye care center, optometrist, and sunglasses store.","['In-store Shopping', 'Eye Care Services', 'Contact Lenses Retailer', 'Optician Services', 'Retail', 'Bathroom Facilities', 'In-store Pickup', 'Wheelchair Accessible Entrance']",Services,Optometrists,Offices of Optometrists,[]
"Solar Gold Dried Fruit is a company that specializes in producing dried fruits, including Mango, pineapple, and banana. They dry the Kent and Ataulfo varieties for their smooth texture and distinctive flavor, and preserve the digestive enzymes by ensuring the fruit never exceeds 35 degrees Celsius during the drying process. Their tropical mix is perfect for travel, lunch-boxes, and camping, and can be used as a replacement for raisins in cooking, salads, baking, and breakfast cereals. The company's products are high in potassium and magnesium, which help maintain stamina for endurance sports like cycling, hiking, and cross-country skiing.","['Dressed Fruits', 'Dried Pineapples', 'Food Retail', 'Food Production', 'Drying Process', 'Tropical Dried Fruits', 'Dried Mangoes']",Manufacturing,Fruit & Vegetable - Markets & Stores,Dried and Dehydrated Food Manufacturing,[]
"Coma Rico is a restaurant located in Cali, Valle del Cauca, Colombia. It offers various dining options including dine-in, takeout, and delivery services. The establishment is described as casual and cozy, and it is suitable for groups and families with children.","['Cozy Atmosphere', 'Takeout Services', 'Lunch Service', 'Restaurant', 'Bathroom Facilities', 'Dine-in Service', 'Casual Atmosphere']",Services,Restaurants,Full-Service Restaurants,[]
"Gemini Beauty is a company that offers a variety of makeup, skincare, and hair products. Their makeup line includes items such as lip oil, liquid lipstick matte, liquid concealer, facial contour, compact illuminator, powder finisher armor, transparent powder, banana powder, eyeliner pen, eyelash mascara, false eyelashes, face masks, false eyebrow glue, and false eyelash 5D mink. They also offer hair products such as hair brush powder, hair brush drop, hairbrush racket, and Venus Eyeshadow Palette.","['Kits 2 Powder Sponges', 'Facial Cleansing Sponges', 'Compact Illumination', 'Lip Oil', 'Band Of Brothers', 'Hair Powder', 'Face Contour Products', 'Venus Eyeshadow Palette', 'Liquid Concealer', 'Face Masks', 'Mermaid Brushes Kit', 'Eyelash Mascara Extends and Define', 'Ruby Angel', 'Coconut Chamomile Micellar Water', 'Liquid Base', '5D Mink Luxury False Eyelashes', 'Translucent Powder', 'Mermaid Eyeliner Pen', 'My Beauty Tool', 'Black Power Eye Pencil', 'Banana Powder', 'Asu Makeup', 'Powder Finisher Armor', 'Beauty Products Retailer', 'Summer Satin Hat']",Retail,Cosmetics Stores,"Cosmetics, Beauty Supplies, and Perfume Retailers",[]
"SellerGroup is a company that specializes in promotional and office products. They offer unique office solutions and customized furniture designs for office spaces, including desks, chairs, and conference tables. They also provide ergonomic solutions for a better work environment with their ErgoDesk and CleanDesk products. SellerOffice develops and sells unique solutions for office workspaces, while ActiveOffice offers special products for creating an active working environment. Additionally, they provide information and advice on office design.","['Office Furniture Design and Manufacturing', 'Workplace Solutions', 'Hygiene Products', 'Promotional Products with Logos', 'Desk Cleaning', 'Branding Services', 'Branding Enhancement', 'Conference Tables']",Manufacturing,Office Furniture,Wood Office Furniture Manufacturing,"['Air Duct Cleaning Services', 'Wood Product Manufacturing', 'Furniture Manufacturing', 'Branding Services']"
"Ural Metallurgical Company is a production group that specializes in mechanical processing of metal, including non-ferrous metallurgy and forging manufacturing. They are also one of the largest metal traders in the Siberian Ural region. The company offers a wide range of metalworking services such as turning, milling, and high-precision machining on equipment with numerical control. They maintain a stock of metal for production of ingots weighing up to 250 kg and can manufacture ingots using customer materials. The customer's metal will only be accepted if there is a certificate by manufacturer marked ""for hot processing"" which can be put into production after receiving input control. The main suppliers of metal are JSC ""Elektrostal"", JSC “Izhstal” and Mechel, Serov Metallurgical Plant (Jsc), Zlatoust Metalworking Factory.","['Ferrous Metallurgy Services', 'Obtaining Blanks', 'Metal Products', 'Metal Trading Services', 'Plasma Cutting', 'Calibrated Circles', 'Titanium Alloy', 'Metal Rivets', 'Advanced Numerical Control Equipment', 'Forging Manufacturing Services', 'Metal Bushings', 'Serial Production and Testing', 'Stripe', 'Carbon Steels', 'Structure Creation', 'Self Tapping Screw', 'Equipment Manufacturer', 'Lathe Processing Services', 'Design Documentation', 'Round G/K', 'Metal Sheet Reinforcement Solutions', 'Wire', 'Metal Washers', 'Technology Elaboration', 'Stainless Steel Forgings', 'Aluminum', 'Paper Tape', 'Precision Machining']",Manufacturing,Forging & Metal Stampings,Iron and Steel Forging,"['Sheet Metal Services', 'Ice Production Services', 'Paper Production Services']"
"Tiga Putra Farm is a cattle farm located in Sidoarjo, East Java, Indonesia.","['Cattle Breeding and Raising Services', 'Agriculture']",Wholesale,Livestock & Animal Raising,Livestock Merchant Wholesalers,[]
"Suffolk Firewood & Arborsculpture is a carpentry company located in Martlehsam that offers a range of high-quality services including kitchen fittings, joinery, furniture repair and reassembly, wood wall panelling, and windows and doors. They specialize in bespoke wood designs and ideas, and offer custom windows and door crafting at an affordable price. The company prides itself on providing excellent customer service from start to finish.","['Hardwood Firewood Supplier', 'Carpentry Works']",Retail,Firewood Supplier,Fuel Dealers,['Carpentry Services']
"Tobaccotoday is a full-service marketing and advertising agency that has been partnering with clients for over 10 years to help them achieve their business goals and keep their customers satisfied. They offer a range of services, including internet marketing consulting and traditional marketing consulting, as well as designing and implementing various forms of marketing collateral. With a proven track record of helping companies find the most effective advertising channels for their products or services, Tobaccottoday can assist in determining the best ways to invest marketing dollars to reach your audience. Whether you need an internet marketing consultant or want to revamp your marketing approach, Tobacco Today is here to assist.","['Domain Name Sales Services', 'Domain Registration Services']",Wholesale,Tobacco,Tobacco Product and Electronic Cigarette Merchant Wholesalers,"['Consulting Services', 'Marketing Services', 'Advertising Services']"
"The Bingsu Hub is an ice cream shop located in Bang Khen, Bangkok, Thailand.","['In-store Pickup', 'Takeout Services', 'Dine-in Options', 'Ice Cream and Frozen Dessert Manufacturing']",Manufacturing,Ice Cream,Ice Cream and Frozen Dessert Manufacturing,[]
The company specializes in the professional installation of home safety devices and detectors.,[],Services,"Alarms, Surveillance & Security Systems",Security Guards and Patrol Services,['Alarm Installation Services']
"Grupo Rimag is a company consisting of three pillars: Rimag Importaciones S.A, Dimo de Alajuela SA, and Richo import-export SA. They specialize in selling quality products and maintaining long-term partnerships with suppliers and customers. With extensive knowledge of the market, they offer competitive value propositions and professionalize their sales force. The company is known for its excellent customer service and commitment to customer satisfaction. Black & Decker, a subsidiary of Grupo Rimlag, is a leading producer of home appliances, including ironing boards, oven toasters, portable mixers, coffee makers, and hair dryers. Remington, another subsidiary, introduced the first electric shaver in 1937 and continues to innovate with unique products.","['Importing and Distributing', 'Continental Appliances', 'Small Appliances Distribution', 'Black & Decker Appliances', 'Hamilton Beach Small Appliences', 'Precision Trading Corp. Small Appliques']",Wholesale,Appliance Stores,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",[]
"Francesco Perrotta Edilizia is a construction company based in Cervino, Cervo, Italy. The company was founded by Francesco Perrottta, who has a strong focus on professionalism and technological innovation. They specialize in the construction of residential, commercial, and industrial buildings, and are known for their high-quality workmanship and attention to detail. The team at Francesco perrotta edilizi has extensive experience in the field, having worked on various projects in Italy and abroad. They offer a wide range of services, including the construction and renovation of residential and commercial buildings, as well as the construction, renovation, and modernization of public and private buildings. The owner, Francesco, has a passion for construction and has been involved in the industry for many years.","['Construction Project Management', 'Construction Services', 'Construction Materials Supplier', 'Professionalism in Construction', 'Technological Innovation Services for Construction Industry']",Services,Construction Services,Industrial Building Construction,"['Commercial Construction Services', 'Commercial Renovation Services', 'Project Management Services']"
"Dr. med. dent. Seibert-Schmidt is a dentist based in Gemeinde Thiersee, Tyrol, Austria.","['Healthcare Services', 'Dental Service']",Services,Dentists & Dental Clinics,Offices of Dentists,[]
"Mountain Toy Sales is a company that specializes in wholesale toy accounts and provides experienced advice to its clients. The company was founded by a couple who owned and operated a toy store in Bozeman, MT for ten years and has been a sales representative with DanSon Sales for eight years.","['Sales Representative', 'Online Purchasing', 'Wholesale Toy Accounts', 'Retail', 'Vendor Catalogs', 'Wholesale Accounts']",Wholesale,Toys & Games Stores,Toy and Hobby Goods and Supplies Merchant Wholesalers,[]
"Sanitario is a company that specializes in the sale of sanitary wares, including sanitary pads, sanitary napkins, sanitizers, and dispensers. They offer a variety of sizes and colors, as well as discounts on their products. The company also provides information on how to care for sanitary ware and offers tips on how long to keep sanitary products in good condition. Additionally, they provide information on the Value Added Tax (VAT) which is a tax on the value of goods and services.","['Free Ownership Transfer', 'Sanitary Ware Manufacturer', 'Product Distribution', 'Transaction Support', 'Domain Name Transfer', 'Buyer Protection Program']",Manufacturing,Industrial Air Solutions,Plumbing Fixture Fitting and Trim Manufacturing,"['Industrial Plumbing Services', 'Trim Manufacturing']"
"Prologistics Carriers is a company that specializes in refrigerated transportation of products, particularly those that are temperature-sensitive. They offer dry vans for loading and unloading products from the rear of trailers from loading docks, with some trailers even offering liftgates in cases where loading docks are unavailable. Their services ensure a successful import and export process with constant times and visibility at all times, on-site or customs classification, consolidation, and deconsolidation of merchandise.","['Consolidation and Deconsolidation of Merchandise', 'Temperature-controlled Supply Chain Partner', 'Import and Export Processes', 'Customs Classification', 'Refrigerated Transport Services', 'Dry Vans with Lift Gates', 'Logistics Carrier']",Services,Trucking and Logistics,"General Freight Trucking, Long-Distance, Less Than Truckload",[]
"The company is a design firm that specializes in developing and implementing ideas. They offer design services focused on improving the quality of life in urban planning, architecture, landscape design, and interior design.","['Interior Design Services', 'Urban Design Services', 'Architectural Design and Implementation Services', 'Landscape Design Services']",Services,Architects & Architectural Services,Architectural Services,['Interior Design Services']
Fahrzeugbau-pfaff.de is a German company that specializes in vehicle construction services. They operate in accordance with the legal requirements of the Telemediengesetz 5 Telemediation Act.,"['Vehicle Construction Services', 'Construction Services', 'Motorhome Construction', 'Commercial Vehicles Manufacturer', 'Trailer Manufacturer', 'Boat Trailer Design and Construction', 'Transfer Trucks', 'Caravans Manufacturer', 'Carpentry Services', 'Commercial Vehicles for Construction', 'Mobile Construction Services', 'Media Mobile Vehicles Manufacturer', 'Special Vehicles Manufacturer']",Manufacturing,Auto Parts Manufacturers,Motor Vehicle Body Manufacturing,"['Carpentry Services', 'Mobile Home Construction Services', 'Commercial Construction Services', 'Legal Services', 'Arts Services']"
"Rijkswaterstaat, formerly known as the Bureau voor den Waterstaat and formerly as the Directorate General for Public Works and Water Management, is a Directorate-General of the Ministry of Infrastructure and Water management of the Netherlands. Founded in 1798, the agency is responsible for the practical execution of public works and water management, including the construction and maintenance of waterways and roads, as well as flood protection and prevention. Rijksstaat has been involved in the construction of major railway projects such as the Betuweroute and the HSL-Zuid. Their mission is to provide dry feet, clean and sufficient water, and a quick and safe flow of traffic. The agency is divided into 10 regional, 6 specialist services, and 2 special services.","['Flood Protection Measures', 'Civil Engineering Projects', 'Waterway Maintenance', 'Transport Infrastructure Construction', 'National Water Control', 'Water Management Services', 'Public Works Execution', 'Road Maintenance', 'Infrastructure Development', 'Disaster Prevention Planning', 'Hydraulic Engineering Services', 'Water Quality Improvement', 'Environmental Waterways Construction', 'Traffic Flow Management']",Manufacturing,Water Supply & Water Treatment,Administration of Air and Water Resource and Solid Waste Management Programs,"['Well Maintenance Services', 'Road Maintenance Services', 'Water Treatment Services', 'Waste Management Services', 'Project Management Services', 'Event Planning Services']"
"Solar Heat Pumps is a high-tech enterprise that specializes in the production of solar-powered hot water heaters. The company is a joint venture between Shenzhen Guowang Holding Co., Ltd., Beijing First Light Group, and First Steel Holding Co. The core of the company is based on solar-photovoltaic heating technology, with a focus on product research and development, production, engineering design, marketing, and sales. The goal of the solar heat pumps is to promote the promotion and application of clean energy sources. The solar heat pump control system is a key feature of the modern solar heaters, and the company provides information on how to select the appropriate control system for each type of solar heat exchanger and how to install it properly. The heat exchangers are known for their high quality and durability, and can be used in various settings such as homes, offices, and hotels.","['Wall-mounted Series', 'Nickel Enhanced Series', 'Manufacturing', 'Kid Series', 'Research and Development', 'Clean Energy Solutions Provider', 'Design And Engineering', 'Renewable Energy Development', 'Marketing', 'Need For Speed Series', 'Environmentally Friendly', 'Solar Panel Wall Mounted Series', 'Split Series', 'Quick Release Series']",Wholesale,Renewable energy companies,Geothermal Electric Power Generation,[]
"W.A.Y.S. Helping Hands is a non-profit organization based in Sacramento, California that aims to empower, support, and assist the homeless community. The organization provides housing in a clean, safe, and drug-free environment, as well as food and services that are registered, certified, or licensed. W.A.,Y. S. Help is pursuing various projects to help the homeless and relies on the help of volunteers and supporters to achieve its goals. Donations to the organization can be made through PayPal or referrals.","['Homelessness Support Services', 'Food Information Services Provision', 'Safe and Substance-free Housing', 'Charitable Donations']",Services,Homelessness Shelter,Temporary Shelters,['Volunteer Services']
Wu An Fake Commercial Bills of Exchange is a company that specializes in providing fake commercial bills of exchange. They offer customized professional replications of these bills with no cash payment and without interest.,"['Tax Amendments', 'Customized Professional Replications']",Services,Money Transfer,Other Activities Related to Credit Intermediation,[]
"Akyom is a company that specializes in traditional and contemporary house construction in the Tarn region of France. They have been established for many years and offer services such as searching for land, creating plans, assembling administrative files, financing studies, filing permits, monitoring site work, and ensuring compliance with quality charter. Akyom guarantees sustainable homes and long-term energy savings to preserve their clients' purchasing power. They are committed to meeting their clients’ expectations in terms of budgetary imperative and ensuring the construction of a place for living and wellbeing that is like their own.","['Sustainable Homes', 'Construction Services', 'Contemporary Homes', 'Quality Charter Compliance Services', 'Land Search', 'Work Site Monitoring', 'Financing Analysis', 'Permit Filing Assistance', 'Plan Creation', 'Long-term Energy Savings', 'Administrative File Assembly']",Services,Real Estate Developers,New Housing For-Sale Builders,"['Real Estate Services', 'Compliance Services']"
Stroxx is a series of professional hand tools developed by skilled professionals with a focus on quality and precision. These instruments are designed to be used by individuals who take pride in their profession every day.,"['Hand Tools Manufacturer', 'Handles', 'Manufacturing', 'Retail']",Manufacturing,Hardware Stores,Saw Blade and Handtool Manufacturing,[]
"RIKA 78 is a French company that specializes in the production and sale of wood stoves and pellet stoves. They offer a wide range of wood and pellets, including mixed stoves, as well as Rika stoves for both wood and pellets. The company also provides the Rikatronic4, an electronic control system for fireplace stoves with programmable ignition that supports users in all heating steps, from temperature rise to recharge. Rika 78's pellet conveying and optimized smoke extraction reduce operating noise to a minimum, while the continuous worm motorization eliminates small repetitive sounds characteristic of pellet-stoves. The distribution of hot air is carried out through radiation and natural convection, eliminating the need for a convection fan. The Rika78 showroom is located in Coignières and offers a wide selection of wood-burning stoves at prices available from their factory stores.","['Retail', 'In-store Shopping', 'Installation and Maintenance Services', 'Wood Pellets for Pellet Stoves', 'Mix Stove Installation Services', 'Mixed Stoves', 'Wood Stove Shop', 'Heating Equipment Supplier', 'After-sales Service', 'Unisex Toilets', 'Onsite Services', 'Wheelchair Accessible Entrance']",Manufacturing,Industrial Air Solutions,Heating Equipment (except Warm Air Furnaces) Manufacturing,"['Well Maintenance Services', 'Ice Production Services', 'Wood Product Manufacturing']"
"Hawk International is a Pakistani company that specializes in the processing of PET bottle flakes using modern plants and machinery. They are a member of the Chamber of Commerce and Industry in Karachi and are registered with the Federal Board of Revenue, Government of Pakistan. The company has expanded its business to include the mining of chromite ore and the supply of Manganese Ore, Copper Ore, Iron Ore, and Low Silica Limestone. They have also introduced Mill Scale, a waste iron slag of re-rolling steel mills, to their Chinese buyers and have exported their products to leading steel mills in China. Hawk International is focused on increasing their production capacity to meet the increasing demand for their products in China, India, and other Far East countries.","['Energy Solutions Provider', 'Environmental Services', 'Mineral Recycling Services', 'Recycled Metals Recycling Services']",Manufacturing,"Minerals, Earths & Ores",Iron Ore Mining,"['Ice Production Services', 'Recycling Services']"
